"","id","group","age_at_test","time_point","Maturity_offset","Jump_height","Jump_speed","Bounciness","l_kicker","r_kicker","l_grip","r_grip","l_ham","r_ham","x10m_accel","x20m_speed","Fitness","Jump_height_mean","Jump_height_sd","Jump_speed_mean","Jump_speed_sd","Bounciness_mean","Bounciness_sd","l_kicker_mean","l_kicker_sd","r_kicker_mean","r_kicker_sd","l_grip_mean","l_grip_sd","r_grip_mean","r_grip_sd","l_ham_mean","l_ham_sd","r_ham_mean","r_ham_sd","x10m_accel_mean","x10m_accel_sd","x20m_speed_mean","x20m_speed_sd","Fitness_mean","Fitness_sd","Jump_height_tscore","Jump_speed_tscore","Bounciness_tscore","l_kicker_tscore","r_kicker_tscore","l_grip_tscore","r_grip_tscore","l_ham_tscore","r_ham_tscore","x10m_accel_tscore","x20m_speed_tscore","Fitness_tscore"
"1","ETC01","u13s",9,"Autumn 2023",-0.64276002232902,23.5,0.49,1.41,NA,NA,NA,NA,NA,NA,2.11,3.66,NA,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,59.1989692994507,74.12207113152,62.7568429768494,NA,NA,NA,NA,NA,NA,53.4577880298421,49.8089500527013,NA
"2","ETC01","u13s",10,"April 2024",-0.441686809023682,25.4,0.42,1.54,NA,NA,NA,NA,181,164,2.08076923076923,3.6175,16.5,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,65.4977830349262,61.6117564059735,68.4061640528955,NA,NA,NA,NA,45.5747117590098,38.3454590971491,48.765023975629,46.5495973508511,49.6137236501364
"3","ETC01","u14s",11,"September 2025",-0.115593048192606,27.8,0.38,1.31,198.75,186.5,240,219,221.25,198.25,1.95,3.44,18.5,21.9095726495726,3.3081959341734,0.34757264957265,0.0730129844543789,1.1635701754386,0.238010827697964,220.539473684211,29.5108576014705,228.368421052632,35.3711833847143,239,37.1498467171954,255.789473684211,36.9362498056801,240.151175213675,45.4189995975412,252.981303418803,53.380298972688,2.01997939951786,0.0764463408794256,3.53224429824561,0.13276443729857,17.2108974358974,1.45780711539456,67.8055576744404,54.4413128253389,56.1522337440557,42.6164552794546,38.163126860289,50.2691801146886,40.039737689192,45.8384871130674,39.7469095392653,40.8459451802624,43.0520325982952,58.8427512150924
"4","ETC01","u13s",11,"April 2025",-0.083530862795866,26.9,0.36,1.21,NA,NA,NA,NA,218.25,214.5,2.1,3.6,18,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,70.4705307208279,50.8886294983622,54.0655797829323,NA,NA,NA,NA,54.7009117300485,51.3223112553993,51.8523687481377,45.2075109442069,66.4995183727429
"5","ETC01","u13s",10,"August 2024",-0.280306071742027,25.4,0.41,1.2,NA,NA,NA,NA,210.25,178.5,2.07,3.58,17.5,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,65.4977830349262,59.8245685880383,53.6310166232365,NA,NA,NA,NA,52.7409224745234,42.0714859544684,47.0361109030241,43.6736979080422,60.8709201318741
"6","ETC02","u13s",13,"April 2025",NA,23.9,0.37,1.07,NA,NA,NA,NA,216.5,239.25,2.1,3.63,17,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,60.5250353490245,52.6758173162974,47.9816955471904,NA,NA,NA,NA,54.2721640804023,57.6822536497892,51.8523687481377,47.5082304984541,55.2423218910053
"7","ETC02","u13s",12,"Feb 2024",0.561686077735723,20.7,0.33,0.71,NA,NA,NA,NA,164,175.5,2.09,3.65,NA,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,49.9165069524342,45.5270660445566,32.3374217981397,NA,NA,NA,NA,41.4097345910189,41.3005838460575,50.2469494664331,49.0420435346189,NA
"8","ETC02","u14s",13,"September 2025",1.49307366245983,27.8,0.43,1.27,184.25,209.5,256,265,194,209.25,2.07,3.58,19.5,21.9095726495726,3.3081959341734,0.34757264957265,0.0730129844543789,1.1635701754386,0.238010827697964,220.539473684211,29.5108576014705,228.368421052632,35.3711833847143,239,37.1498467171954,255.789473684211,36.9362498056801,240.151175213675,45.4189995975412,252.981303418803,53.380298972688,2.01997939951786,0.0764463408794256,3.53224429824561,0.13276443729857,17.2108974358974,1.45780711539456,67.8055576744404,61.289409828036,54.4716379330634,37.703009456966,44.6655951972516,54.5760619497069,52.4936279032781,39.8387953009485,41.8075948879233,56.5432301803736,53.5970251315862,65.7023692635977
"9","ETC02","u13s",12,"April 2024",0.629233073891853,20.9,0.34,0.74,NA,NA,NA,NA,NA,NA,2.22,3.86,15.5,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,50.5795399772211,47.3142538624918,33.6411112772272,NA,NA,NA,NA,NA,NA,71.1174001285919,65.147080414349,38.3565271683988
"10","ETC02","u13s",11,"Autumn 2023",0.349097833505995,25,0.38,0.95,NA,NA,NA,NA,NA,NA,2.09,3.66,NA,20.7251851851852,3.01644099951556,0.355027777777778,0.0559538281295654,1.11644444444444,0.230116147144155,NA,NA,NA,NA,NA,NA,NA,NA,199.0625,40.8165502818369,209.354166666667,38.9154468157319,2.08846177587844,0.0622890238952577,3.66249117647059,0.130393988891952,16.5343137254902,0.88832064148679,64.1717169853524,54.4630051342327,42.7669376308401,NA,NA,NA,NA,NA,NA,50.2469494664331,49.8089500527013,NA
